65	Battle Basics
66	Battle Basics (2)
67	Geo Effect
68	Tutorial
C9	Vyers Castle - Blessed Court
CA	Vyers Castle - Corridor of Love
CB	Vyers Castle - Hall of Caresses
CC	Vyers Castle - Magnificent Gate
12D	Blazing Core - Road of Flames
12E	Blazing Core - Parched Ground
12F	Blazing Core - Blazing Field
130	Blazing Core - Molten Labyrinth
191	Dinero Palace - Golden Courtyard
192	Dinero Palace - Flashy Passage
193	Dinero Palace - Lavish Hall
194	Dinero Palace - Gaudy Entrance
1F5	Frozen River - Icy Breath
1F6	Frozen River - Eternal Winter
1F7	Frozen River - White Death
1F8	Frozen River - Forsaken Land
259	Blair Forest - Calamity Woods
25A	Blair Forest - Ritual Site
25B	Blair Forest - Witches' Den
25C	Blair Forest - Writhing Shadow
25D	Blair Forest - Nightdwellers
25E	Blair Forest - Heart of Evil
2BD	Stellar Graveyard - Valgipus IV
2BE	Stellar Graveyard - Thurvean Sector
2BF	Stellar Graveyard - Sphere VIII
2C0	Stellar Graveyard - Cross-Point
2C1	Stellar Graveyard - Primordial Soup
2C2	Stellar Graveyard - Primordial Soup (Zetta)
321	Gargantua Deck - Point Alpha-III
385	Gargantua Interior - Main Corridor 1
386	Gargantua Interior - Main Corridor 2
387	Gargantua Interior - Main Corridor 3
388	Gargantua Interior - Bridge
3E9	Human World - Central City
3EA	Human World - Neo Eden
3EB	Human World - EDF Headquarters
44D	Prinny Land - Prinny Land 1
44E	Prinny Land - Prinny Land 2
44F	Prinny Land - Prinny Land 3
4B1	Celestia - Field of Virtue
4B2	Celestia - Paradise
4B3	Celestia - Angelic Choir
4B4	Celestia - Coliseum
4B5	Celestia - Divine Prison
515	Seraphic Sanctuary - Inner Sanctum
516	Seraphic Sanctuary - Hall of Justice
517	Seraphic Sanctuary - Sacred Altar
518	Seraphic Sanctuary - Sacred Altar(D)
579	Salamander's Breath - Scorching Wind
57A	Salamander's Breath - Column of Fire
57B	Salamander's Breath - Crimson Plains
57C	Salamander's Breath - Ember of Dreams
57D	Salamander's Breath - Raging Earth
5DD	Sea of Gehenna - Fervent Melody
5DE	Sea of Gehenna - Wasteland of Woe
5DF	Sea of Gehenna - Searing Tyranny
5E0	Sea of Gehenna - Inferno
5E1	Sea of Gehenna - River of Lava
641	Jotunheim - Endless White
642	Jotunheim - Terrible Cold
643	Jotunheim - Ice Queen
644	Jotunheim - Absolute Zero
6A5	Lunar Snowfield - Frigid Garden
6A6	Lunar Snowfield - Freezing Souls
6A7	Lunar Snowfield - Under the Moon
6A8	Lunar Snowfield - Theatre of Death
709	Forest of the Dead - Ghostly Whisper
70A	Forest of the Dead - Rising Fear
70B	Forest of the Dead - Crawling Terror
70C	Forest of the Dead - Hero's Tomb
76D	Stellar Graveyard II - Embryon
76E	Stellar Graveyard II - Core Point No. 4
76F	Stellar Graveyard II - Star Cluster
770	Stellar Graveyard II - Sidereal Rift
7D1	Beauty Castle - Foreboding Seal
7D2	Beauty Castle - Beauty of Evil
835	Alternate Netherworld - Alternate World
836	Alternate Netherworld - Hall of Sin
837	Alternate Netherworld - Hall of Penance
838	Alternate Netherworld - Malefic Seal
839	Alternate Netherworld - Warrior Maiden
899	Baal Castle - Patriarch's Seal
89A	Baal Castle - Lord of Terror
89B	Baal Castle - Baal (Etna Mode)
B55	Puzzle - 1
B56	Puzzle - 2
B57	Puzzle - 3
B58	Puzzle - 4
B59	Puzzle - 5
BB9	Cave of Ordeal - Cave of Ordeal 1
BBA	Cave of Ordeal - Cave of Ordeal 2
BBB	Cave of Ordeal - Cave of Ordeal 3
BBC	Cave of Ordeal - Cave of Ordeal 4
BBD	Cave of Ordeal - Cave of Ordeal 5
BBE	Cave of Ordeal - Demonhall Mirror (1)
BBF	Cave of Ordeal - Demonhall Mirror (2)
BC0	Cave of Ordeal - Demonhall Mirror (3)
BC1	Cave of Ordeal - Demonhall Mirror (4)
BC2	Cave of Ordeal - Demonhall Mirror (5)
BC3	Cave of Ordeal - Demonhall Mirror (6)
BC4	Cave of Ordeal - Demonhall Mirror (7)
BC5	Cave of Ordeal - Demonhall Mirror (8)
C1D	Extra - 1
C1E	Extra - 2
C1F	Extra - 3
C20	Extra - 4
C21	Extra - 5
C81	Stellar Graveyard - Valgipus IV (Etna Mode)
CE5	Vyers Castle - Blessed Court (Etna Mode)
CE6	Vyers Castle - Corridor of Love (Etna Mode)
CE7	Vyers Castle - Hall of Caresses (Etna Mode)
CE8	Vyers Castle - Magnificent Gate (Etna Mode)
D49	Dinero Palace - Golden Courtyard (Etna Mode)
D4A	Dinero Palace - Flashy Passage (Etna Mode)
D4B	Dinero Palace - Lavish Hall (Etna Mode)
D4C	Dinero Palace - Gaudy Entrance (Etna Mode)
DAD	Sea of Gehenna - Fervent Melody (Etna Mode)
DAE	Sea of Gehenna - Wasteland of Woe (Etna Mode)
DAF	Sea of Gehenna - Searing Tyranny (Etna Mode)
