65	Triple Strike
66	Tiger Charge
67	Lion's Roar
68	King of Beasts
C9	Blade Rush
CA	Hurricane Slash
CB	Wind Cutter
CC	Winged Slayer
CD	Nightsever
12D	Impaler
12E	Sky Lunge
12F	Asteroid Drop
130	Avalanche
191	Poison Arrow
192	Dark Flash
1F5	Tri-burst
1F6	Rapidfire
1F7	Proximal Shot
1F8	Bullet Storm
259	Boulder Crush
25A	Skull Splitter
2BD	Fire
2BE	Mega Fire
2BF	Giga Fire
2C0	Omega Fire
2C1	Tera Fire
2C7	Wind
2C8	Mega Wind
2C9	Giga Wind
2CA	Omega Wind
2CB	Tera Wind
2D1	Ice
2D2	Mega Ice
2D3	Giga Ice
2D4	Omega Ice
2D5	Tera Ice
2DB	Star
2DC	Mega Star
2DD	Giga Star
2DE	Omega Star
2DF	Tera Star
321	Heal
322	Mega Heal
323	Giga Heal
324	Omega Heal
325	Espoir
32B	Braveheart
32C	Shield
32D	Magic Boost
32E	Magic Wall
331	Enfeeble
385	Geo Change
386	Dark Cannon
3A3	Health
3F3	Crimson Flame
3FD	Rose Thorns
