000A	War Demon
000B	Destructive Power
000C	Close Combatant
000D	Muscle Increase
000E	Fatal Hit
000F	Bolster Spirit
0010	Reliable Ally
0028	Queen's Temper
0029	Unrequited Love
002A	Search Coin
002B	Dynamic Vision
002C	Dream Invitation
002D	Reverse Harem
002E	Life and Death
0032	Super Crush
0033	Heart of a Leader
0034	Muscle Power
0035	Iron Body
0036	Abandon Knowledge
0037	One Hit Victory
0038	Battle Mania
003C	Tactician
003D	Superlative Ally
003E	Cool and Calm
003F	Fountain of Facts
0040	Eye For Discovery
0041	Battle of Wits
0042	Analyzer
0046	Anti-Bully Aura
0047	Precious People
0048	I Love Curry
0049	Mystic Protection
004A	Status Guard
004B	Death Resistance
004C	Bunny Ear Radar
0064	Flowing Water
0065	Underdog Bravery
0066	Retreat Technique
0067	Reflexes
0068	Ambition
0069	Sonic Charge
006A	Kamikaze
0078	Fighting Aura
0079	Mastered Fist
007A	Breath of Life
007B	Immovable Fist
007C	Heavy Armor
007D	Pressure
008C	Queen of Coffins
008D	Evil Spirit
008E	Mental Discipline
008F	Malicious Reflect
0090	Curse Reversal
0091	Lich Deimos
0096	Endless Animosity
00A0	Swift Strategy
00A1	Magic Enhancement
00A2	Violence
00A3	Death Glare
00A4	Loner Power
00A5	Plunder Power
00AA	Distorted Feelings
00F0	Main Character R.
00F1	Bullet Set
00F2	Dual Wielding
00F3	Close-Up Shot
00F4	Sky High
00F5	Never Give Up
019A	Restricted Guard
03F2	Wild Cry
03F3	Muscle Mastery
03F4	Power Axe
03F5	Fighting Instinct
03F6	Shaking Excitement
03F7	Super Guts
03FC	Assault Attack
03FD	Defense Mastery
03FE	Effort
03FF	Pierce
0400	Start Dash
0401	Hit and Away
0406	Magic Bundle
0407	Casting Mastery
0408	Magic Training
0409	Enlarge
040A	Lights of Life
040B	Over Limit
0410	Magic Moderation
0411	Mind Mastery
0412	Expand
0413	Damage Convert
0414	Magic Collection
0415	Overflowing Magic
041A	Fury
041B	Grappler
041C	Retribution
041D	Blasting Fist
041E	Counter Chance
041F	Forced Counter
0424	Rapid Movement
0425	Chi Charging
0426	Impromptu
0427	No-miss Counter
0428	Smash Hit
0429	Counter Dodge
042E	Medical Heal
042F	Healing Hands
0430	Staff Rebellion
0431	Light Salvation
0432	Staff of Healing
0433	Light Protection
0438	Expert Hands
0439	Resist Mastery
043A	Res Arrows
043B	Heart of Affection
043C	Vital Arrow
043D	Advanced Healing
0442	Thief Skills
0443	Dodge Mastery
0444	Bomb Trainer
0445	Evade Danger
0446	Lucky Finger
0447	Treasure Hunt
044C	Efficient Work
044D	Know How to Use It
