0065	Thimble
0066	Rubber Gloves
0067	Dress Gloves
0068	Magic Hand
0069	Forehead Flicker
006A	Catcher’s Mitt
006B	Grip Dynamometer
006C	Handmade Bracers
006D	Brass Knuckles
006E	Brawler’s Cestuses
006F	Massager
0070	Power Knuckles
0071	Fisticuffs Deluxe
0072	Jugular Thrust
0073	Singauta
0074	Cross Counter
0075	Hand Power
0076	Kung Fu Fist
0077	Thorny Mittens
0078	Bagh Nakh
0079	Robot Arms
007A	Ninja Claws
007B	Jamadhar
007C	Venom Hands
007D	Vice Indicator
007E	Burning Karate
007F	Silver Gauntlet
0080	Dragon Buster
0081	Kingly Himantes
0082	Hero Punch
0083	Southern Cross
0084	Death’s Grip
0085	Dark Fist
0086	Three-Year Killer
0087	Zodiac
0088	Golden Right
0089	God Hand
008A	Cosmo Breaker
008B	Ultimus
008C	Hrimthurse
008D	Thiassi
008E	Muspell
044D	TV
044E	Watermelon
044F	Pie
1456	Overlord Fist
14BA	Wolf Fang
157D	Burning Blow
157F	Dark Hero Soul
00C9	Replica Sword
00CA	Rusted Sword
00CB	Survival Knife
00CC	Kitchen Knife
00CD	Versatile Billhook
00CE	Vine Blade
00CF	Mail Breaker
00D0	Jewel Blossom
00D1	Assassin Dagger
00D2	Machete
00D3	Knight’s Sabre
00D4	Civilian’s Jitte
00D5	Parazonium
00D6	Gladiator
00D7	Justice Blade
00D8	Aqua Sword
00D9	Duskbane
00DA	Mighty Shotel
00DB	Mysterious Blade
00DC	Weaponized Hagoita
00DD	Ridill
00DE	Demon’s Knife
00DF	Overlord’s Sword
00E0	Blutgang
00E1	Laser Blade
00E2	Evil Edge
00E3	Swordsman’s Legend
00E4	Hauteclaire
00E5	Bloody Blade
00E6	Durandal
00E7	Lion King’s Edge
00E8	Samosek Sword
00E9	Dragon Warrior
00EA	Satan’s Sword
00EB	Aroundight
00EC	Genie’s Blade
00ED	Nodens
00EE	Claiomh Solais
00EF	Yoshitsuna
00F0	Baal Sword
00F1	Glimmerblade
00F2	Catastophe
00F3	Fire Runeblade
00F4	Wind Runeblade
00F5	Ice Runeblade
0450	Tennis Racket
0451	Sunflower
0452	Paper Fan
0453	Umbrella
0454	Fresh Sardine
0455	Raised Flag
0456	Leek
0457	Tri-Colored Mochi
0458	Flute
0459	Bouquet
045A	Glow Plate
1454	Overlord Sword
14B5	Death Sickle
14B9	Evil Edge
1519	Super Hero Sword
151C	Genie’s Blade
15E1	Zetta Sword
012D	Old Bamboo Spear
012E	Training Spear
012F	Wave Spear
0130	Ruyi Bang
0131	Bardiche
0132	Halberd
0133	Iron Spear Fork
0134	Spuntone
0135	Cross Spear
0136	Floral Spear
0137	La Chauve-Souris
0138	Large Naginata
0139	Light Partisan
013A	Sky Piercer
013B	Moonshadow Spear
013C	Sunset Lance
013D	Obsidian Spear
013E	Hornet Pike
013F	Devil Fork
0140	Spirit Pike
0141	Orcish Glaive
0142	Shaman Lance
0143	Elder Spear
0144	Snake Spear
0145	Valkyrie Spear
0146	Oracle Spear
0147	Chitragupta
0148	Fallen Angel Spear
0149	Dynastic Guandao
014A	Trident
014B	Grasida
014C	Kagutsuchi Pike
014D	Trishula
014E	Romulus’ Spear
014F	Grand Tepes
0150	Worm Spear
0151	Nailgun Spear
0152	Laevataeinn
0153	Drill Emperor
0154	Pillar of Dialgo
0155	Saturn’s Edge
0156	Fire Runeblade
0157	Wind Runeblade
0158	Ice Runeblade
045A	Shovel
045B	Push Broom
045C	Mic
045D	Paintbrush
045E	Sign
045F	Necktie
0460	Harpoon
0461	Peace Sign
0462	Spork
1455	Elder Spear
0191	Driftwood Bow
0192	Toy Bow
0193	Wooden Bow
0194	Thorny Bow
0195	Longbow
0196	Bow of Scales
0197	Bone Hunter
0198	Fairy Arch
0199	Unicorn Bow
019A	Nethershroud Bow
019B	Sky Hunter
019C	Shadow Howler
019D	Venom Fang Bow
019E	Earthen Bow
019F	Metal Hunter
01A0	Snuff Bow
01A1	Bow of Miracles
01A2	Shell Sparrow
01A3	Godspeed Bow
01A4	Blooming Flower
01A5	Skogsra
01A6	Golden Bow
01A7	Undine Bow
01A8	Sylphid
01A9	Bow of Spirits
01AA	Bow of Leraje
01AB	Dragon’s Jaw
01AC	Harpuia
01AD	Stymphalia
01AE	Crossy Bow
01AF	Failnaught
01B0	Goddess’ Starbow
01B1	Drake Hunter
01B2	Erythron
01B3	Gustav’s Bow
01B4	Lovely Cupid
01B5	Infernal Raven
01B6	Shekinah’s Bow
01B7	Majin Greatbow
01B8	Devine
01B9	Sleipnir
01BA	Artemis
0463	Tambourine
0464	Flower Wreath
0465	Balance Toy
0466	Hanger
0467	Rainbow
0468	Folding Fan
14BB	Lovely Cupid
01F5	Water Pistol
01F6	Worn Bowgun
01F7	Junk Shooter
01F8	Customized Replica
01F9	Hand Blaster
01FA	Assault Magnum
01FB	Shock Gun
01FC	Thunder Jet
