0065	Triple Strike
0066	Phantom Blow
0067	Hurricane Blow
0068	Purgatory Palm
0069	Rising Domination
006A	Big Bang
006B	No Way Out
00C9	Blade Rush
00CA	Killer Spin
00CB	Excavation
00CC	Vacuum Slice X
00CD	Rising Heavens
00CE	Neodimension Slash
00CF	Super Crosslord
012D	Impaler Drop
012E	Thousand Piercings
012F	Spear Gate
0130	Phoenix Valor
0131	Tornado Spark
0132	Divine Trident
0133	Meteor Sky Spear
0191	Rapid Arrow
0192	Doppelganger
0193	Zielregen
0194	Chaotic X Circle
0195	Sword Inferno
0196	Galaxy Comet
0197	Fire Dragon Gods
01F5	Tri-Burst
01F6	Victory Bullet
01F7	Shotgun Craft
01F8	Homing Eraser
01F9	Top Shot
01FA	Toten Kreuz
01FB	Cocytus
0259	Boulder Crush
025A	Yo-Yo Trick
025B	Wild Crescent
025C	Silver Slugger
025D	Gravity Hammer
025E	Dynamic Moon
025F	El Diablo
0390	Capture Skill 1
0394	Squad Attack
03B7	Tower Whip
03B8	Tower Fishing
03B9	Tower Laser
03BB	Tower Move
03BC	Tower Lift
03BD	Tower Throw
03BF	Tower Release
03E9	Fire
03EA	Mega Fire
03EB	Giga Fire
03EC	Omega Fire
03ED	Tera Fire
044D	Wind
044E	Mega Wind
044F	Giga Wind
0450	Omega Wind
0451	Tera Wind
04B1	Ice
04B2	Mega Ice
04B3	Giga Ice
04B4	Omega Ice
04B5	Tera Ice
0515	Star
0516	Mega Star
0517	Giga Star
0518	Omega Star
0519	Tera Star
0579	Heal
057A	Mega Heal
057B	Giga Heal
057C	Omega Heal
057D	Tera Heal
05DB	Espoir
05DD	Braveheart
05DE	Shield
05DF	Magic Boost
05E0	Magic Wall
05E1	Target Lock
05E2	Speed Boost
0641	Enfeeble
0642	Armor Break
0643	Mind Break
0644	Resist Break
0645	Blind
0646	Slow
06A5	Poison
06A6	Slumber
06A7	Stun
06A8	Blank Out
06A9	Charm
076D	Geo Change
076F	Bonus Change
0770	Bonus Blast
0771	Geo Blast
0772	Geo Warp
271B	Exploding Tiger
271C	Hellfire Shot
271D	Avidya Holy Water
271E	Macrocosm
2739	Dazzling Eyes
273A	Two-Handed Draw
273B	Battle Orchestra
2743	Steel Arm Lariat
2744	Giant Body Slam
2745	Super Damage Lord
274D	Demon’s Solace
274E	Piercing Light
274F	Gospel of Power
2757	Flatty Dance
2758	Assault Circus
2759	Prinnical Meteor
2761	Berserk Stream
