00	Jobless
01	Dietician
02	Master
03	Gladiator
04	Sentry
05	Tutor
06	Coach
07	Marksman
08	Physician
0B	Muscleman
0C	Sprinter
0D	Nerd
0E	Hard Worker
0F	Patient
10	Pugilist
11	Sniper
15	Alchemist
16	Hypnotist
17	Witch Doctor
18	Amnesiac
19	Gangster
1A	Professional
29	Pharmacist
2A	Coffee Maker
2B	Medicine Man
2C	Psychologist
2D	Social Worker
2E	Firefighter
2F	Aeronaut
30	Cryophile
3C	Guardian
3D	Broker
3E	Statistician
3F	Manager
40	Sparring Partner
41	Trainer
83	Item General
84	Item King
85	Item God
86	Item God 2
C9	Kinder Gardener
CA	Berry Picker
CB	Secret Trainer
CC	Chalkboard Scraper
CD	High Spiriter
CE	Glutton
CF	Punisher
D0	Sweet Tempter
D1	Mana Robber
D2	Cat Burglar
D3	All Digger
D4	Trash Talker
D5	Rubber
D6	Sensationalist
D7	Wuss
D8	Town Crier
D9	Sun Bather
DA	Joke Slapper
DB	Motivator
DC	Sumo Wrestler
DD	Hand Shaker
DE	Beggar
DF	Partier
E0	Mode Changer
E1	Eraser
E2	Killer
E3	Heart's Shadow
FA	Dengeki PS Shop
FB	Famitsu Shop
FC	Love Love Shop
FD	Tsun Tsun Shop
FE	復活！屋
FF	フォールド屋
100	活力屋
