0000	グレートバイス
0001	Physical
0002	Magic
0065	Triple Strike
0066	Double Shadow
0067	Side Out
0068	Beast King
0069	Aura Punch
006A	Big Bang
006B	Quintuple Shot
006C	No Way Out
00C9	Blade Rush
00CA	Hurricane Slash
00CB	Nether Slash
00CC	Musou Slash
00CD	Dark Night Slash
00CE	Dimension Slash
00CF	Sky Nine Slash
00D0	Super Crosslord
012D	Impaler Drop
012E	Blade Bash
012F	Spear Blow
0130	Trident
0131	Dimension Rush
0132	Magic Comet Slash
0133	Baker's Dozen Slash
0134	Meteor Sky Spear
0191	Dark Spica
0192	Bright Canopus
0193	Meteor Arrow Kick
0194	Zielregen
0195	Doppelganger
0196	Galaxy Comet
0197	Psycho Mirage
0198	Fire Dragon Gods
01F5	Tri-Burst
01F6	Dark Matter Ether
01F7	Point Blank Blaster
01F8	Icicle Sword Gun
01F9	Rapid Launcher
01FA	Patriot
01FB	Double Hell Limbo
01FC	Cocytus
0259	Boulder Crush
025A	Helmet Crush
025B	Super Back Spin
025C	Axe Wheel WMD
025D	Dynamic Moon
025E	Plasma Sky
025F	Netherworld Loop
0260	El Diablo
0321	451 Degrees of Evil
0322	Gone with the Cotton
0323	Sea Horse Charge
0324	Baskervilles
0325	Nether News
0326	Sea Dragon Bang
0327	Cat Tale
0328	NIS Certification
0383	Dengeki Guide
038F	Piggyback
03A3	Create Box
03A4	Create Barrel
03A5	Stealing Hand
03B7	Tower Fall
03B8	Tower Hamster
03B9	Tower Dunk
03BB	Tower Move
03BC	Tower Lift
03BD	Tower Throw
03BE	Tower Break
03E9	Fire
03EA	Mega Fire
03EB	Giga Fire
03EC	Omega Fire
03ED	Tera Fire
044D	Wind
044E	Mega Wind
044F	Giga Wind
0450	Omega Wind
0451	Tera Wind
04B1	Ice
04B2	Mega Ice
04B3	Giga Ice
04B4	Omega Ice
04B5	Tera Ice
0515	Star
0516	Mega Star
0517	Giga Star
0518	Omega Star
0519	Tera Star
0579	Heal
057A	Mega Heal
057B	Giga Heal
057C	Omega Heal
057D	Tera Heal
05DB	Espoir
05DD	Braveheart
05DE	Shield
05DF	Magic Boost
05E0	Magic Wall
05E1	Target Lock
05E2	Speed Boost
0641	Enfeeble
0642	Armor Break
0643	Mind Break
0644	Resist Break
0645	Slow
0646	Blind
06A5	Poison
06A6	Slumber
06A7	Stun
06A8	Blank Out
06A9	Charm
0709	Move!
070A	Jump Jump Jump!
070B	Counter Classes
070C	Throw!
070D	Magic Extender
070E	Only Crits!
076D	Geo Change
076F	Bonus Change
0770	Bonus Blast
0771	Geo Blast
0772	Geo Warp
07D1	Fire Charge
07D2	Wind Charge
07D3	Ice Charge
07D4	Anti-Fire
07D5	Anti-Wind
07D6	Anti-Ice
0835	Wild Groom
0836	Dominate
2329	Dummy
232A	Mega Dummy
232B	Giga Dummy
232C	Omega Dummy
232D	Tera Dummy
271B	Blazing Knuckle
271C	Overlord's Wrath
271D	Meteor Impact EX
271E	Overlord Dimension
2725	Blazing Knuckle
2726	Overlord's Wrath
2727	Meteor Impact EX
2728	Overlord Dimension
272F	Prinny Raid
2730	Sexy Beam
2731	Chaos Impact
2732	Dead End Chaos
2743	Love Knuckle!
2744	Holy Arrows
2745	Flonnezilla
274D	Extreme Love!
2757	Angelic Knuckle
2758	Prinny Parade
